ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s
45381,SN 2019qsc,15:06:03.070,+55:34:22.98,SN Ia,0.029,NGC 5862,0.029264,"ALeRCE, GaiaAlerts, ZTF","ZTF, GaiaAlerts",ZTF,ALeRCE; GaiaAlerts; ZTF,ZTF19acajpre,"Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.2446,g-ZTF,2019-09-23 03:15:59.000,ALeRCE,,
45338,SN 2019qqm,15:30:26.870,+36:44:20.15,SN Ia,0.05,,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19abzmpku,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.49,g-ZTF,2019-09-19 03:14:34.000,ZTF_AMPEL_NEW,,
45317,SN 2019qpr,08:06:54.366,+39:00:23.80,SN Ia,0.07,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19acaiylt,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.17,r-ZTF,2019-09-22 11:53:26.000,ZTF_AMPEL_NEW,,
45313,SN 2019qpn,04:47:26.834,-04:00:50.63,SN Ia,0.08,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abzzgec,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.34,r-ZTF,2019-09-21 11:04:54.000,ZTF_AMPEL_NEW,,
45263,SN 2019qnp,06:46:31.921,+41:48:24.49,SN Ia,0.065,2MASX J06463206+4148210,,"ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ALeRCE; ATLAS; Pan-STARRS1; ZTF,ZTF19abzzhgx,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",,1,1,,19.475,r-ZTF,2019-09-21 11:07:45.000,ALeRCE,,
45225,SN 2019qmd,03:02:15.240,+20:31:51.24,SN Ia,0.057,,,"ZTF, GaiaAlerts, Pan-STARRS1","ZTF, GaiaAlerts, Pan-STARRS1",ZTF,GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abzyvfi,"Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.3,r-ZTF,2019-09-12 12:07:37.000,ZTF_AMPEL_COMPLETE,,
45219,SN 2019qlx,23:59:00.452,+45:29:20.65,SN Ia,0.103,,,ZTF,ZTF,ZTF,ZTF,ZTF19abzplvm,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.32,g-ZTF,2019-09-21 07:48:55.000,ZTF_AMPEL_NEW,,
45216,SN 2019qlu,23:05:30.862,-11:32:42.85,SN Ia,0.09,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abzvyew,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.14,r-ZTF,2019-09-21 06:30:25.000,ZTF_AMPEL_NEW,,
45196,SN 2019qla,00:11:41.221,-09:40:17.50,SN Ia,0.0674,2MASX J00114114-0940165,0.067414,"ALeRCE, ZTF",ZTF,ZTF,ALeRCE; ZTF,ZTF19abnhegb,P48 - ZTF-Cam,P60 - SEDM,1,1,,18.8715,g-ZTF,2019-09-20 09:27:01.000,ALeRCE,,
45195,SN 2019qkz,01:00:30.560,+25:35:37.78,SN Ia,0.069,SDSS J010030.55+253538.3,0.077,"ALeRCE, ZTF, Pan-STARRS1","ZTF, Pan-STARRS1",ZTF,ALeRCE; Pan-STARRS1; ZTF,ZTF19abzprpk,"P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.27,g-ZTF,2019-09-20 09:08:38.000,ALeRCE,,
45194,SN 2019qky,00:19:53.090,-23:23:51.68,SN Ia,0.046,2MASX J00195288-2323393,0.063454,"ALeRCE, ZTF, Pan-STARRS1, ATLAS, GaiaAlerts","ZTF, Pan-STARRS1, ATLAS, GaiaAlerts",ZTF,ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abzsitm,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,18.759,g-ZTF,2019-09-20 09:02:40.000,ALeRCE,,
45153,SN 2019qjj,00:36:01.664,-05:23:01.98,SN Ia,0.068,,,ZTF,ZTF,ZTF,ZTF,ZTF19abzhfjj,P48 - ZTF-Cam,P200 - DBSP,1,1,,18.75,g-ZTF,2019-09-17 09:05:17.000,ZTF_AMPEL_NEW,,
45126,SN 2019qii,01:54:16.816,+14:57:32.13,SN Ia,0.096,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abzqkdz,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",Lick-3m - KAST,1,1,,19.3,r-ZTF,2019-09-19 09:34:11.000,ZTF_AMPEL_NEW,,
45125,SN 2019qih,03:52:10.730,-08:30:22.97,SN Ia,0.03,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1",ZTF,ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ZTF19abzlsbl,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",,1,1,,18.96,r-ZTF,2019-09-18 11:01:35.000,ZTF_AMPEL_NEW,,
45120,SN 2019qid,04:13:36.919,+26:34:44.07,SN Ia,0.0533,,,ZTF,ZTF,ZTF,ZTF,ZTF19abylxyt,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.27,g-ZTF,2019-09-12 11:39:50.000,ZTF_Bot1,,
45119,SN 2019qic,01:21:59.173,+07:27:10.18,SN Ia,0.086,,,ZTF,ZTF,ZTF,ZTF,ZTF19abyhxzp,P48 - ZTF-Cam,P60 - SEDM,1,1,,20.05,r-ZTF,2019-09-10 10:26:24.000,ZTF_Bot1,,
45117,SN 2019qia,16:06:15.330,+15:38:51.36,SN Ia,0.039,,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19abzmnuk,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.33,g-ZTF,2019-09-19 03:12:36.000,ZTF_AMPEL_NEW,,
45106,SN 2019qhp,05:47:45.858,+50:12:38.69,SN Ia,0.026,2MASS J05474614+5012376,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS,ZTF19abzlmwn,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.0804,r-ZTF,2019-09-18 10:44:45.000,ALeRCE,,
45103,SN 2019qhm,01:36:06.597,-07:45:24.96,SN Ia,0.113,SDSS J013606.64-074526.1,0.099,"ALeRCE, Pan-STARRS1, ZTF","ZTF, Pan-STARRS1",ZTF,ALeRCE; Pan-STARRS1; ZTF,ZTF19abzkyjy,"P48 - ZTF-Cam, PS1 - GPC1",Lick-3m - KAST,1,1,,19.2448,r-ZTF,2019-09-18 09:03:48.000,ALeRCE,,
45102,SN 2019qhl,21:22:12.061,+11:33:36.36,SN Ia,0.0867,SDSS J212211.85+113337.2,0.083,"ALeRCE, Pan-STARRS1, ATLAS","ZTF, Pan-STARRS1, ATLAS",ZTF,ALeRCE; ATLAS; Pan-STARRS1,ZTF19abzkexb,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P200 - DBSP,1,1,,19.3563,r-ZTF,2019-09-18 08:43:18.000,ALeRCE,,
45071,SN 2019qgg,16:18:34.450,+45:42:47.45,SN Ia,0.05872,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19abzhzet,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.11,r-ZTF,2019-09-18 03:00:35.000,ZTF_AMPEL_NEW,,
45070,SN 2019qgf,18:30:47.601,+23:25:08.35,SN Ia,0.083,,,ZTF,ZTF,ZTF,ZTF,ZTF19abzhvxk,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.73,r-ZTF,2019-09-18 02:50:32.000,ZTF_AMPEL_NEW,,
45066,SN 2019qgb,20:24:22.417,+15:27:43.99,SN Ia,0.068,,,ZTF,ZTF,ZTF,ZTF,ZTF19abpmetl,P48 - ZTF-Cam,P60 - SEDM,1,1,,20.2,r-ZTF,2019-08-11 05:11:02.000,ZTF_Bot1,,
45055,SN 2019qfq,17:51:08.760,+24:48:12.56,SN Ia,0.074,SDSS J175108.54+244808.7,0.05,"ALeRCE, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts",ZTF,ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1,ZTF19abzfmak,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.03,g-ZTF,2019-09-17 03:29:55.000,ALeRCE,,
